[2019-01-05 00:01:53][MainThread:14052][task_id:new_logger][functions.py:108][INFO][Err:[update_sh_basic_info]---name 'sleep' is not defined]
[2019-01-05 00:01:53][MainThread:14052][task_id:new_logger][ex_data.py:30][INFO][ex_web_data : __del__() called]
[2019-01-05 00:02:33][MainThread:10168][task_id:new_logger][ex_data.py:21][INFO][ex_web_data : __init__() called]
[2019-01-05 00:02:33][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 1 times]
[2019-01-05 00:02:33][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 2 times]
[2019-01-05 00:02:33][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 3 times]
[2019-01-05 00:02:33][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 4 times]
[2019-01-05 00:02:33][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 5 times]
[2019-01-05 00:02:33][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 6 times]
[2019-01-05 00:02:34][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 7 times]
[2019-01-05 00:02:34][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 8 times]
[2019-01-05 00:02:34][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 9 times]
[2019-01-05 00:02:34][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 10 times]
[2019-01-05 00:02:34][MainThread:10168][task_id:new_logger][tushare_data.py:33][INFO][tushare call 11 times]
[2019-01-05 00:05:08][MainThread:9204][task_id:new_logger][ex_data.py:21][INFO][ex_web_data : __init__() called]
[2019-01-05 00:05:08][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 1 times]
[2019-01-05 00:05:08][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 2 times]
[2019-01-05 00:05:08][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 3 times]
